Geo Point;NOMLONG;LIGNE;RESEAU
48.8871348691, 2.38696001714;OURCQ;5;METRO
48.8652537861, 2.37458197;PARMENTIER;3;METRO
48.8626540191, 2.38760728815;PERE LACHAISE;2;METRO
48.815930763, 2.37726720015;PIERRE CURIE;7;METRO
48.831433631, 2.35564364302;PLACE D'ITALIE;7;METRO
48.8311126604, 2.32970501262;MOUTON-DUVERNET;4;METRO
48.8449426325, 2.3287780269;NOTRE-DAME-DES-CHAMPS;12;METRO
48.8646578796, 2.36841002566;OBERKAMPF;5;METRO
48.8647276207, 2.36849638711;OBERKAMPF;9;METRO
48.8521672611, 2.33964633593;ODEON;10;METRO
48.8704867033, 2.33240740643;OPERA;7;METRO
48.8479715406, 2.25774468038;PORTE D'AUTEUIL;10;METRO
48.8942522622, 2.31377215877;PORTE DE CLICHY;13;METRO
48.8552362528, 2.36095648866;SAINT-PAUL (LE MARAIS);1;METRO
48.8724223837, 2.31003834462;SAINT-PHILIPPE-DU-ROULE;9;METRO
48.867309475, 2.34751621328;SENTIER;3;METRO
48.8842789443, 2.36588135817;STALINGRAD;2;METRO
48.8844208864, 2.36589381994;STALINGRAD;5;METRO
48.8692241717, 2.3546037907;STRASBOURG-SAINT-DENIS;9;METRO
48.8512376804, 2.361985141;SULLY-MORLAND;7;METRO
48.8885036879, 2.39211369776;PORTE DE PANTIN;5;METRO
48.8213557838, 2.36929058735;PORTE D'IVRY;7;METRO
48.8659809205, 2.33433072438;PYRAMIDES;7;METRO
48.8612049903, 2.35349574013;RAMBUTEAU;11;METRO
48.8389642807, 2.33075419209;RASPAIL;4;METRO
48.8663402993, 2.35206831805;REAUMUR-SEBASTOPOL;3;METRO
48.8660696891, 2.35245974411;REAUMUR-SEBASTOPOL;4;METRO
48.8484578485, 2.32778212715;RENNES;12;METRO
48.8671587253, 2.3639578365;REPUBLIQUE;8;METRO
48.8745583847, 2.3213619281;SAINT-AUGUSTIN;9;METRO
48.9365268526, 2.35939826103;BASILIQUE DE SAINT-DENIS;13;METRO
